['48', 'AQI', '3', 'PM2.5/1h', '9', 'PM10/1h', '0.5', 'CO/1h', '9', 'NO2/1h', '82', 'O3/1h', '94', 'O3/8h', '5', 'SO2/1h', '阿坝州']
['65', 'AQI', '18', 'PM2.5/1h', '43', 'PM10/1h', '0.25', 'CO/1h', '9', 'NO2/1h', '114', 'O3/1h', '116', 'O3/8h', '6', 'SO2/1h', '天水']
['67', 'AQI', '48', 'PM2.5/1h', '63', 'PM10/1h', '0.65', 'CO/1h', '34', 'NO2/1h', '84', 'O3/1h', '83', 'O3/8h', '10', 'SO2/1h', '铁岭']
['62', 'AQI', '15', 'PM2.5/1h', '56', 'PM10/1h', '0.95', 'CO/1h', '26', 'NO2/1h', '107', 'O3/1h', '113', 'O3/8h', '11', 'SO2/1h', '铜川']
['71', 'AQI', '13', 'PM2.5/1h', '33', 'PM10/1h', '0.6', 'CO/1h', '22', 'NO2/1h', '109', 'O3/1h', '124', 'O3/8h', '7', 'SO2/1h', '通化']
['76', 'AQI', '34', 'PM2.5/1h', '84', 'PM10/1h', '0.43', 'CO/1h', '16', 'NO2/1h', '120', 'O3/1h', '130', 'O3/8h', '11', 'SO2/1h', '通辽']
['49', 'AQI', '29', 'PM2.5/1h', '48', 'PM10/1h', '0.9', 'CO/1h', '33', 'NO2/1h', '62', 'O3/1h', '84', 'O3/8h', '11', 'SO2/1h', '铜陵']
['52', 'AQI', '14', 'PM2.5/1h', '52', 'PM10/1h', '0.9', 'CO/1h', '22', 'NO2/1h', '46', 'O3/1h', '34', 'O3/8h', '3', 'SO2/1h', '铜仁地区']
['38', 'AQI', '22', 'PM2.5/1h', '37', 'PM10/1h', '0.6', 'CO/1h', '14', 'NO2/1h', '73', 'O3/1h', '70', 'O3/8h', '6', 'SO2/1h', '吐鲁番地区']
['63', 'AQI', '44', 'PM2.5/1h', '57', 'PM10/1h', '0.45', 'CO/1h', '17', 'NO2/1h', '81', 'O3/1h', '92', 'O3/8h', '2', 'SO2/1h', '瓦房店']
['65', 'AQI', '19', 'PM2.5/1h', '37', 'PM10/1h', '0.2', 'CO/1h', '15', 'NO2/1h', '116', 'O3/1h', '116', 'O3/8h', '5', 'SO2/1h', '潍坊']
['61', 'AQI', '37', 'PM2.5/1h', '33', 'PM10/1h', '0.4', 'CO/1h', '19', 'NO2/1h', '103', 'O3/1h', '111', 'O3/8h', '4', 'SO2/1h', '威海']
['68', 'AQI', '15', 'PM2.5/1h', '58', 'PM10/1h', '0.38', 'CO/1h', '13', 'NO2/1h', '124', 'O3/1h', '120', 'O3/8h', '5', 'SO2/1h', '渭南']
['58', 'AQI', '27', 'PM2.5/1h', '32', 'PM10/1h', '0.5', 'CO/1h', '25', 'NO2/1h', '93', 'O3/1h', '108', 'O3/8h', '3', 'SO2/1h', '文登']
['66', 'AQI', '37', 'PM2.5/1h', '79', 'PM10/1h', '0.75', 'CO/1h', '13', 'NO2/1h', '112', 'O3/1h', '113', 'O3/8h', '4', 'SO2/1h', '文山州']
['61', 'AQI', '26', 'PM2.5/1h', '58', 'PM10/1h', '0.5', 'CO/1h', '16', 'NO2/1h', '77', 'O3/1h', '111', 'O3/8h', '7', 'SO2/1h', '温州']
['98', 'AQI', '18', 'PM2.5/1h', '44', 'PM10/1h', '0.43', 'CO/1h', '9', 'NO2/1h', '156', 'O3/1h', '156', 'O3/8h', '6', 'SO2/1h', '乌海']
['71', 'AQI', '51', 'PM2.5/1h', '60', 'PM10/1h', '1.31', 'CO/1h', '66', 'NO2/1h', '25', 'O3/1h', '25', 'O3/8h', '3', 'SO2/1h', '武汉']
['69', 'AQI', '23', 'PM2.5/1h', '54', 'PM10/1h', '0.93', 'CO/1h', '43', 'NO2/1h', '81', 'O3/1h', '121', 'O3/8h', '8', 'SO2/1h', '芜湖']
['115', 'AQI', '29', 'PM2.5/1h', '66', 'PM10/1h', '0.63', 'CO/1h', '31', 'NO2/1h', '188', 'O3/1h', '175', 'O3/8h', '10', 'SO2/1h', '吴江']
['68', 'AQI', '10', 'PM2.5/1h', '48', 'PM10/1h', '0.4', 'CO/1h', '14', 'NO2/1h', '143', 'O3/1h', '120', 'O3/8h', '9', 'SO2/1h', '五家渠']
['97', 'AQI', '10', 'PM2.5/1h', '25', 'PM10/1h', '0.2', 'CO/1h', '10', 'NO2/1h', '155', 'O3/1h', '155', 'O3/8h', '15', 'SO2/1h', '乌兰察布']
['81', 'AQI', '12', 'PM2.5/1h', '37', 'PM10/1h', '0.67', 'CO/1h', '17', 'NO2/1h', '135', 'O3/1h', '135', 'O3/8h', '6', 'SO2/1h', '乌鲁木齐']
['96', 'AQI', '36', 'PM2.5/1h', '139', 'PM10/1h', '0.4', 'CO/1h', '12', 'NO2/1h', '142', 'O3/1h', '139', 'O3/8h', '4', 'SO2/1h', '武威']
['131', 'AQI', '40', 'PM2.5/1h', '80', 'PM10/1h', '0.55', 'CO/1h', '28', 'NO2/1h', '203', 'O3/1h', '193', 'O3/8h', '10', 'SO2/1h', '无锡']
['56', 'AQI', '11', 'PM2.5/1h', '55', 'PM10/1h', '0.17', 'CO/1h', '9', 'NO2/1h', '114', 'O3/1h', '106', 'O3/8h', '8', 'SO2/1h', '吴忠']
['38', 'AQI', '21', 'PM2.5/1h', '32', 'PM10/1h', '0.95', 'CO/1h', '19', 'NO2/1h', '75', 'O3/1h', '74', 'O3/8h', '6', 'SO2/1h', '梧州']
['75', 'AQI', '23', 'PM2.5/1h', '54', 'PM10/1h', '0.43', 'CO/1h', '19', 'NO2/1h', '124', 'O3/1h', '128', 'O3/8h', '7', 'SO2/1h', '厦门']
['69', 'AQI', '11', 'PM2.5/1h', '53', 'PM10/1h', '0.68', 'CO/1h', '18', 'NO2/1h', '131', 'O3/1h', '121', 'O3/8h', '6', 'SO2/1h', '西安']
['49', 'AQI', '18', 'PM2.5/1h', '38', 'PM10/1h', '0.8', 'CO/1h', '30', 'NO2/1h', '86', 'O3/1h', '96', 'O3/8h', '10', 'SO2/1h', '湘潭']
['59', 'AQI', '41', 'PM2.5/1h', '63', 'PM10/1h', '1.03', 'CO/1h', '23', 'NO2/1h', '41', 'O3/1h', '47', 'O3/8h', '8', 'SO2/1h', '湘西州']
['60', 'AQI', '33', 'PM2.5/1h', '49', 'PM10/1h', '0.95', 'CO/1h', '28', 'NO2/1h', '97', 'O3/1h', '110', 'O3/8h', '6', 'SO2/1h', '襄阳']
['70', 'AQI', '50', 'PM2.5/1h', '81', 'PM10/1h', '1.33', 'CO/1h', '26', 'NO2/1h', '73', 'O3/1h', '80', 'O3/8h', '2', 'SO2/1h', '咸宁']
['62', 'AQI', '17', 'PM2.5/1h', '72', 'PM10/1h', '0.63', 'CO/1h', '21', 'NO2/1h', '108', 'O3/1h', '109', 'O3/8h', '8', 'SO2/1h', '咸阳']
['83', 'AQI', '61', 'PM2.5/1h', '72', 'PM10/1h', '1.2', 'CO/1h', '11', 'NO2/1h', '91', 'O3/1h', '72', 'O3/8h', '7', 'SO2/1h', '孝感']
['84', 'AQI', '17', 'PM2.5/1h', '43', 'PM10/1h', '0.65', 'CO/1h', '11', 'NO2/1h', '139', 'O3/1h', '139', 'O3/8h', '7', 'SO2/1h', '锡林郭勒盟']
['68', 'AQI', '9', 'PM2.5/1h', '38', 'PM10/1h', '0.37', 'CO/1h', '7', 'NO2/1h', '126', 'O3/1h', '120', 'O3/8h', '3', 'SO2/1h', '兴安盟']
['87', 'AQI', '63', 'PM2.5/1h', '102', 'PM10/1h', '0.68', 'CO/1h', '26', 'NO2/1h', '165', 'O3/1h', '143', 'O3/8h', '18', 'SO2/1h', '邢台']
['72', 'AQI', '27', 'PM2.5/1h', '92', 'PM10/1h', '0.6', 'CO/1h', '13', 'NO2/1h', '116', 'O3/1h', '116', 'O3/8h', '8', 'SO2/1h', '西宁']
['107', 'AQI', '60', 'PM2.5/1h', '88', 'PM10/1h', '1.4', 'CO/1h', '26', 'NO2/1h', '166', 'O3/1h', '166', 'O3/8h', '12', 'SO2/1h', '新乡']
['66', 'AQI', '47', 'PM2.5/1h', '71', 'PM10/1h', '0.8', 'CO/1h', '19', 'NO2/1h', '92', 'O3/1h', '92', 'O3/8h', '4', 'SO2/1h', '信阳']
['43', 'AQI', '27', 'PM2.5/1h', '42', 'PM10/1h', '0.64', 'CO/1h', '12', 'NO2/1h', '92', 'O3/1h', '84', 'O3/8h', '6', 'SO2/1h', '新余']
['70', 'AQI', '47', 'PM2.5/1h', '72', 'PM10/1h', '1.17', 'CO/1h', '34', 'NO2/1h', '100', 'O3/1h', '122', 'O3/8h', '18', 'SO2/1h', '忻州']
['57', 'AQI', '29', 'PM2.5/1h', '61', 'PM10/1h', '0.5', 'CO/1h', '8', 'NO2/1h', '89', 'O3/1h', '94', 'O3/8h', '4', 'SO2/1h', '西双版纳州']
['76', 'AQI', '48', 'PM2.5/1h', '99', 'PM10/1h', '0.8', 'CO/1h', '31', 'NO2/1h', '90', 'O3/1h', '98', 'O3/8h', '9', 'SO2/1h', '宣城']
['76', 'AQI', '51', 'PM2.5/1h', '83', 'PM10/1h', '1.13', 'CO/1h', '27', 'NO2/1h', '130', 'O3/1h', '130', 'O3/8h', '5', 'SO2/1h', '许昌']
['55', 'AQI', '38', 'PM2.5/1h', '45', 'PM10/1h', '0.76', 'CO/1h', '30', 'NO2/1h', '75', 'O3/1h', '75', 'O3/8h', '10', 'SO2/1h', '徐州']
['45', 'AQI', '19', 'PM2.5/1h', '29', 'PM10/1h', '0.38', 'CO/1h', '25', 'NO2/1h', '77', 'O3/1h', '89', 'O3/8h', '20', 'SO2/1h', '雅安']
['76', 'AQI', '12', 'PM2.5/1h', '49', 'PM10/1h', '0.88', 'CO/1h', '23', 'NO2/1h', '134', 'O3/1h', '130', 'O3/8h', '10', 'SO2/1h', '延安']
['100', 'AQI', '30', 'PM2.5/1h', '80', 'PM10/1h', '0.77', 'CO/1h', '13', 'NO2/1h', '154', 'O3/1h', '158', 'O3/8h', '7', 'SO2/1h', '延边州']
['65', 'AQI', '38', 'PM2.5/1h', '77', 'PM10/1h', '0.68', 'CO/1h', '21', 'NO2/1h', '101', 'O3/1h', '101', 'O3/8h', '10', 'SO2/1h', '盐城']
['32', 'AQI', '14', 'PM2.5/1h', '26', 'PM10/1h', '0.75', 'CO/1h', '8', 'NO2/1h', '65', 'O3/1h', '62', 'O3/8h', '6', 'SO2/1h', '阳江']
['91', 'AQI', '67', 'PM2.5/1h', '114', 'PM10/1h', '1.02', 'CO/1h', '31', 'NO2/1h', '117', 'O3/1h', '127', 'O3/8h', '15', 'SO2/1h', '阳泉']
['83', 'AQI', '45', 'PM2.5/1h', '113', 'PM10/1h', '0.8', 'CO/1h', '54', 'NO2/1h', '126', 'O3/1h', '126', 'O3/8h', '14', 'SO2/1h', '扬州']
['53', 'AQI', '18', 'PM2.5/1h', '45', 'PM10/1h', '0.37', 'CO/1h', '17', 'NO2/1h', '102', 'O3/1h', '102', 'O3/8h', '5', 'SO2/1h', '烟台']
['55', 'AQI', '12', 'PM2.5/1h', '23', 'PM10/1h', '0.77', 'CO/1h', '21', 'NO2/1h', '128', 'O3/1h', '104', 'O3/8h', '20', 'SO2/1h', '宜宾']
['64', 'AQI', '45', 'PM2.5/1h', '60', 'PM10/1h', '1.16', 'CO/1h', '40', 'NO2/1h', '52', 'O3/1h', '45', 'O3/8h', '6', 'SO2/1h', '宜昌']
['44', 'AQI', '29', 'PM2.5/1h', '43', 'PM10/1h', '0.72', 'CO/1h', '15', 'NO2/1h', '72', 'O3/1h', '75', 'O3/8h', '13', 'SO2/1h', '宜春']
['56', 'AQI', '8', 'PM2.5/1h', '19', 'PM10/1h', '0.2', 'CO/1h', '7', 'NO2/1h', '111', 'O3/1h', '105', 'O3/8h', '2', 'SO2/1h', '伊春']
['0', 'AQI', '0', 'PM2.5/1h', '0', 'PM10/1h', '0.0', 'CO/1h', '0', 'NO2/1h', '0', 'O3/1h', '0', 'O3/8h', '0', 'SO2/1h', '伊犁哈萨克']
['61', 'AQI', '12', 'PM2.5/1h', '23', 'PM10/1h', '0.4', 'CO/1h', '9', 'NO2/1h', '131', 'O3/1h', '112', 'O3/8h', '4', 'SO2/1h', '伊犁哈萨克州']
['71', 'AQI', '15', 'PM2.5/1h', '58', 'PM10/1h', '0.39', 'CO/1h', '17', 'NO2/1h', '124', 'O3/1h', '124', 'O3/8h', '20', 'SO2/1h', '银川']
['66', 'AQI', '26', 'PM2.5/1h', '60', 'PM10/1h', '0.38', 'CO/1h', '13', 'NO2/1h', '117', 'O3/1h', '118', 'O3/8h', '3', 'SO2/1h', '营口']
['49', 'AQI', '11', 'PM2.5/1h', '20', 'PM10/1h', '0.36', 'CO/1h', '10', 'NO2/1h', '82', 'O3/1h', '96', 'O3/8h', '7', 'SO2/1h', '鹰潭']
['67', 'AQI', '28', 'PM2.5/1h', '44', 'PM10/1h', '0.4', 'CO/1h', '22', 'NO2/1h', '121', 'O3/1h', '119', 'O3/8h', '7', 'SO2/1h', '义乌']
['133', 'AQI', '54', 'PM2.5/1h', '96', 'PM10/1h', '0.8', 'CO/1h', '29', 'NO2/1h', '223', 'O3/1h', '195', 'O3/8h', '14', 'SO2/1h', '宜兴']
['52', 'AQI', '20', 'PM2.5/1h', '52', 'PM10/1h', '1.48', 'CO/1h', '19', 'NO2/1h', '59', 'O3/1h', '76', 'O3/8h', '3', 'SO2/1h', '益阳']
['36', 'AQI', '12', 'PM2.5/1h', '31', 'PM10/1h', '0.53', 'CO/1h', '14', 'NO2/1h', '59', 'O3/1h', '71', 'O3/8h', '5', 'SO2/1h', '永州']
['52', 'AQI', '35', 'PM2.5/1h', '52', 'PM10/1h', '1.12', 'CO/1h', '25', 'NO2/1h', '68', 'O3/1h', '74', 'O3/8h', '6', 'SO2/1h', '岳阳']
['32', 'AQI', '19', 'PM2.5/1h', '27', 'PM10/1h', '0.65', 'CO/1h', '8', 'NO2/1h', '52', 'O3/1h', '63', 'O3/8h', '14', 'SO2/1h', '玉林']
['85', 'AQI', '18', 'PM2.5/1h', '59', 'PM10/1h', '0.8', 'CO/1h', '22', 'NO2/1h', '138', 'O3/1h', '140', 'O3/8h', '6', 'SO2/1h', '榆林']
['58', 'AQI', '21', 'PM2.5/1h', '37', 'PM10/1h', '0.68', 'CO/1h', '16', 'NO2/1h', '118', 'O3/1h', '108', 'O3/8h', '12', 'SO2/1h', '运城']
['66', 'AQI', '32', 'PM2.5/1h', '80', 'PM10/1h', '0.83', 'CO/1h', '30', 'NO2/1h', '44', 'O3/1h', '34', 'O3/8h', '8', 'SO2/1h', '云浮']
['92', 'AQI', '33', 'PM2.5/1h', '132', 'PM10/1h', '0.1', 'CO/1h', '3', 'NO2/1h', '108', 'O3/1h', '113', 'O3/8h', '5', 'SO2/1h', '玉树州']
['76', 'AQI', '22', 'PM2.5/1h', '69', 'PM10/1h', '0.5', 'CO/1h', '10', 'NO2/1h', '129', 'O3/1h', '129', 'O3/8h', '7', 'SO2/1h', '玉溪']
['61', 'AQI', '37', 'PM2.5/1h', '64', 'PM10/1h', '0.44', 'CO/1h', '21', 'NO2/1h', '105', 'O3/1h', '112', 'O3/8h', '5', 'SO2/1h', '枣庄']
['136', 'AQI', '33', 'PM2.5/1h', '92', 'PM10/1h', '0.45', 'CO/1h', '33', 'NO2/1h', '206', 'O3/1h', '198', 'O3/8h', '9', 'SO2/1h', '张家港']
['53', 'AQI', '36', 'PM2.5/1h', '51', 'PM10/1h', '0.98', 'CO/1h', '17', 'NO2/1h', '77', 'O3/1h', '76', 'O3/8h', '6', 'SO2/1h', '张家界']
['76', 'AQI', '55', 'PM2.5/1h', '82', 'PM10/1h', '1.16', 'CO/1h', '29', 'NO2/1h', '123', 'O3/1h', '123', 'O3/8h', '14', 'SO2/1h', '张家口']
['97', 'AQI', '72', 'PM2.5/1h', '113', 'PM10/1h', '0.6', 'CO/1h', '26', 'NO2/1h', '115', 'O3/1h', '120', 'O3/8h', '14', 'SO2/1h', '章丘']
['101', 'AQI', '47', 'PM2.5/1h', '150', 'PM10/1h', '0.25', 'CO/1h', '6', 'NO2/1h', '127', 'O3/1h', '117', 'O3/8h', '6', 'SO2/1h', '张掖']
['130', 'AQI', '35', 'PM2.5/1h', '84', 'PM10/1h', '0.67', 'CO/1h', '25', 'NO2/1h', '191', 'O3/1h', '191', 'O3/8h', '9', 'SO2/1h', '漳州']
['26', 'AQI', '11', 'PM2.5/1h', '23', 'PM10/1h', '0.55', 'CO/1h', '5', 'NO2/1h', '55', 'O3/1h', '51', 'O3/8h', '5', 'SO2/1h', '湛江']
['85', 'AQI', '62', 'PM2.5/1h', '96', 'PM10/1h', '1.0', 'CO/1h', '83', 'NO2/1h', '27', 'O3/1h', '28', 'O3/8h', '11', 'SO2/1h', '肇庆']
['52', 'AQI', '6', 'PM2.5/1h', '52', 'PM10/1h', '0.6', 'CO/1h', '10', 'NO2/1h', '96', 'O3/1h', '90', 'O3/8h', '7', 'SO2/1h', '昭通']
['41', 'AQI', '21', 'PM2.5/1h', '40', 'PM10/1h', '0.55', 'CO/1h', '13', 'NO2/1h', '74', 'O3/1h', '79', 'O3/8h', '3', 'SO2/1h', '招远']
['96', 'AQI', '56', 'PM2.5/1h', '89', 'PM10/1h', '0.95', 'CO/1h', '34', 'NO2/1h', '160', 'O3/1h', '153', 'O3/8h', '7', 'SO2/1h', '郑州']
['104', 'AQI', '59', 'PM2.5/1h', '75', 'PM10/1h', '0.7', 'CO/1h', '34', 'NO2/1h', '159', 'O3/1h', '163', 'O3/8h', '7', 'SO2/1h', '镇江']
['38', 'AQI', '26', 'PM2.5/1h', '30', 'PM10/1h', '0.65', 'CO/1h', '7', 'NO2/1h', '72', 'O3/1h', '71', 'O3/8h', '6', 'SO2/1h', '中山']
['81', 'AQI', '20', 'PM2.5/1h', '69', 'PM10/1h', '0.43', 'CO/1h', '12', 'NO2/1h', '143', 'O3/1h', '136', 'O3/8h', '9', 'SO2/1h', '中卫']
['59', 'AQI', '33', 'PM2.5/1h', '50', 'PM10/1h', '0.95', 'CO/1h', '21', 'NO2/1h', '86', 'O3/1h', '109', 'O3/8h', '8', 'SO2/1h', '周口']
['49', 'AQI', '17', 'PM2.5/1h', '36', 'PM10/1h', '0.73', 'CO/1h', '19', 'NO2/1h', '82', 'O3/1h', '96', 'O3/8h', '9', 'SO2/1h', '舟山']
['54', 'AQI', '28', 'PM2.5/1h', '55', 'PM10/1h', '0.65', 'CO/1h', '26', 'NO2/1h', '78', 'O3/1h', '93', 'O3/8h', '3', 'SO2/1h', '珠海']
['0', 'AQI', '0', 'PM2.5/1h', '0', 'PM10/1h', '0.0', 'CO/1h', '0', 'NO2/1h', '0', 'O3/1h', '0', 'O3/8h', '0', 'SO2/1h', '诸暨']
['73', 'AQI', '52', 'PM2.5/1h', '93', 'PM10/1h', '0.7', 'CO/1h', '22', 'NO2/1h', '93', 'O3/1h', '108', 'O3/8h', '7', 'SO2/1h', '驻马店']
['52', 'AQI', '25', 'PM2.5/1h', '30', 'PM10/1h', '0.82', 'CO/1h', '27', 'NO2/1h', '91', 'O3/1h', '101', 'O3/8h', '9', 'SO2/1h', '株洲']
['100', 'AQI', '72', 'PM2.5/1h', '148', 'PM10/1h', '1.43', 'CO/1h', '46', 'NO2/1h', '130', 'O3/1h', '137', 'O3/8h', '15', 'SO2/1h', '淄博']
['66', 'AQI', '23', 'PM2.5/1h', '33', 'PM10/1h', '0.48', 'CO/1h', '13', 'NO2/1h', '117', 'O3/1h', '117', 'O3/8h', '12', 'SO2/1h', '自贡']
['58', 'AQI', '11', 'PM2.5/1h', '22', 'PM10/1h', '0.3', 'CO/1h', '10', 'NO2/1h', '127', 'O3/1h', '108', 'O3/8h', '4', 'SO2/1h', '资阳']
['41', 'AQI', '9', 'PM2.5/1h', '11', 'PM10/1h', '0.65', 'CO/1h', '15', 'NO2/1h', '80', 'O3/1h', '80', 'O3/8h', '5', 'SO2/1h', '遵义']
